time,wheel_rpm,velocity,acceleration,F_r
0.0,-3.112792969,,,
0.002,-3.41796875,,,
0.004,-2.258300781,,,
0.006,2.380371094,,,
0.008,2.868652344,,,
0.01,2.685546875,,,
0.012,2.716064453,,,
0.014,2.716064453,,,
0.016,2.716064453,,,
0.018,2.716064453,,,
0.02,2.685546875,,,
0.022,2.807617188,,,
0.024,2.624511719,,,
0.026,-1.586914063,,,
0.028,-3.112792969,,,
0.03,-2.777099609,,,
0.032,-2.838134766,,,
0.034,-2.838134766,,,
0.036,-2.838134766,,,
0.038,-2.838134766,,,
0.04,-2.838134766,,,
0.042,-2.838134766,,,
0.044,-2.807617188,,,
0.046,-2.899169922,,,
0.048,-2.716064453,,,
0.05,1.281738281,,,
0.052,2.685546875,,,
0.054,2.349853516,,,
0.056,2.410888672,,,
0.058,2.410888672,,,
0.06,2.410888672,,,
0.062,2.44140625,,,
0.064,2.593994141,,,
0.066,-1.617431641,,,
0.068,-3.936767578,,,
0.07,-3.509521484,,,
0.072,-3.570556641,,,
0.074,-3.601074219,,,
0.076,-3.601074219,,,
0.078,-3.601074219,,,
0.08,-3.601074219,,,
0.082,-3.570556641,,,
0.084,-3.509521484,,,
0.086,-3.967285156,,,
0.088,-1.373291016,,,
0.09,2.777099609,,,
0.092,2.532958984,,,
0.094,2.532958984,,,
0.096,2.532958984,,,
0.098,2.532958984,,,
0.1,2.532958984,,,
0.102,2.502441406,,,
0.104,2.716064453,,,
0.106,2.075195313,,,
0.108,-2.410888672,,,
0.11,-3.295898438,,,
0.112,-3.051757813,,,
0.114,-3.112792969,,,
0.116,-3.112792969,,,
0.118,-3.112792969,,,
0.12,-3.112792969,,,
0.122,-3.112792969,,,
0.124,-3.112792969,,,
0.126,-3.051757813,,,
0.128,-3.204345703,,,
0.13,-2.9296875,,,
0.132,1.312255859,,,
0.134,2.655029297,,,
0.136,2.319335938,,,
0.138,2.380371094,,,
0.14,2.380371094,,,
0.142,2.380371094,,,
0.144,2.349853516,,,
0.146,2.746582031,,,
0.148,-0.3051757813,,,
0.15,-3.784179688,,,
0.152,-3.41796875,,,
0.154,-3.448486328,,,
0.156,-3.479003906,,,
0.158,-3.479003906,,,
0.16,-3.479003906,,,
0.162,-3.479003906,,,
0.164,-3.448486328,,,
0.166,-3.41796875,,,
0.168,-3.845214844,,,
0.17,-0.8544921875,,,
0.172,2.899169922,,,
0.174,2.563476563,,,
0.176,2.593994141,,,
0.178,2.593994141,,,
0.18,2.593994141,,,
0.182,2.593994141,,,
0.184,2.593994141,,,
0.186,2.563476563,,,
0.188,2.807617188,,,
0.19,1.922607422,,,
0.192,-2.349853516,,,
0.194,-2.960205078,,,
0.196,-2.746582031,,,
0.198,-2.807617188,-0.016093388725087893,,
0.2,-2.807617188,-0.016000039602634904,,
0.202,-2.807617188,-0.015813341357728935,,
0.204,-2.807617188,-0.015981369778511372,,
0.206,-2.807617188,-0.017568304861741563,,
0.208,-2.777099609,-0.01929526362849829,,
0.21,-2.777099609,-0.02096621292166087,,
0.212,-3.051757813,-0.022730511337582325,,
0.214,0.3662109375,-0.023449299581020912,,
0.216,2.868652344,-0.023402625019641476,,
0.218,2.471923828,-0.023477304317665038,,
0.22,2.532958984,-0.023523978879044477,,
0.222,2.532958984,-0.02360799308958864,,
0.224,2.532958984,-0.02363599782653866,,
0.226,2.532958984,-0.022375784672352746,,
0.228,2.502441406,-0.02065816081781073,,
0.23,2.746582031,-0.018968541700218725,,
0.232,1.770019531,-0.017558969949985685,,
0.234,-2.624511719,-0.017493625564176826,,
0.236,-3.173828125,-0.017596309598844524,,
0.238,-2.990722656,-0.017642984159918072,,
0.24,-3.051757813,-0.01770832854572693,,
0.242,-3.051757813,-0.017773672931535783,,
0.244,-3.051757813,-0.01784835222955935,,
0.246,-3.051757813,-0.017895026790938785,,
0.248,-3.021240234,-0.017988375913391773,,
0.25,-3.112792969,-0.019332603277815958,,
0.252,-2.960205078,-0.02105956204457269,,
0.254,1.46484375,-0.021330274500022825,,
0.256,3.112792969,-0.021115571518166832,,
0.258,2.746582031,-0.021012887483499137,,
0.26,2.807617188,-0.020891533624096136,,
0.262,2.807617188,-0.020779514676907845,,
0.264,2.807617188,-0.02071417029109899,,
0.266,2.807617188,-0.0193606080141542,,
0.268,2.807617188,-0.017297592406138488,,
0.27,2.777099609,-0.015374600482261075,,
0.272,3.051757813,-0.0133489245231042,,
0.274,1.922607422,-0.011659305405206311,,
0.276,-2.410888672,-0.011295243827303191,,
0.278,-2.838134766,-0.011061871021017784,,
0.28,-2.655029297,-0.01077248874113823,,
0.282,-2.716064453,-0.010511111197902805,,
0.284,-2.716064453,-0.010268403479402688,,
0.286,-2.716064453,-0.009885672077070149,,
0.288,-2.716064453,-0.010296408216046818,,
0.29,-2.685546875,-0.011967357509209398,,
0.292,-2.655029297,-0.013554292592133704,,
0.294,-3.021240234,-0.015253246621940417,,
0.296,-0.7629394531,-0.016261417145136202,,
0.298,2.899169922,-0.016149398197947907,-0.0005600947286001085,
0.3,2.685546875,-0.01610272363656847,-0.0010268403393356303,
0.302,2.685546875,-0.01604671416297433,-0.0023337280524539012,
0.304,2.685546875,-0.016056049075189035,-0.0007467929667765692,
0.306,2.685546875,-0.015869350830283065,0.016989540314585022,
0.308,2.685546875,-0.01431042048400289,0.04984843144495403,
0.31,2.624511719,-0.012499447506702002,0.08466765414958868,
0.312,3.021240234,-0.010641799968327561,0.12088711369254761,
0.314,1.068115234,-0.00936291698971223,0.14086382591308674,
0.316,-3.234863281,-0.00940025663857107,0.14002368381070399,
0.318,-3.234863281,-0.00943759628742991,0.1403970803023512,
0.32,-3.173828125,-0.009456266111859329,0.14067712767185142,
0.322,-3.204345703,-0.009484270848503458,0.14123722241085174,
0.324,-3.204345703,-0.009512275585147589,0.14123722241391065,
0.326,-3.204345703,-0.00955895014622114,0.128168345261316,
0.328,-3.204345703,-0.009558950146221138,0.11099210671589589,
