"Time","RR_Fx","RR_Fy","RR_Fz","RR_Mx","RR_My","RR_Mz","RR_Wheel,Speed","RR_Position","RR_Ax","RR_Ay","RR_Az"
0,-166.015625,230.7128906,706.7871094,-80.20019531,-61.88964844,3.662109375,0,241.5783691,0.5676269531,0.0244140625,0.9948730469
0.002,-151.3671875,236.8164063,709.2285156,-80.93261719,-62.07275391,3.295898438,0,241.4904785,0.4211425781,-0.1129150391,1.034545898
0.004,-147.7050781,235.5957031,705.5664063,-81.48193359,-62.62207031,1.831054688,0,241.4355469,0.3021240234,-0.2166748047,1.058959961
0.006,-150.1464844,224.609375,708.0078125,-82.76367188,-63.53759766,0.5493164063,0,241.4245605,0.3234863281,-0.1647949219,1.031494141
0.008,-146.484375,211.1816406,715.3320313,-84.41162109,-64.81933594,-0.3662109375,0,241.4355469,0.3204345703,-0.06103515625,0.9887695313
0.01,-134.2773438,205.078125,718.9941406,-85.69335938,-65.73486328,-1.281738281,0,241.4355469,0.1342773438,-0.009155273438,1.016235352
0.012,-122.0703125,203.2470703,715.3320313,-86.05957031,-66.46728516,-2.563476563,0,241.4355469,-0.2655029297,0.006103515625,1.04675293
0.014,-112.3046875,201.4160156,711.6699219,-85.69335938,-66.83349609,-4.211425781,0,241.4245605,-0.6072998047,0.04272460938,1.034545898
0.016,-109.8632813,202.6367188,705.5664063,-84.59472656,-67.3828125,-5.859375,0,241.4685059,-0.68359375,0.1037597656,1.040649414
0.018,-111.0839844,202.0263672,701.9042969,-84.04541016,-67.3828125,-6.591796875,0,241.5234375,-0.439453125,0.1708984375,1.110839844
0.02,-115.9667969,206.2988281,698.2421875,-84.04541016,-67.19970703,-6.774902344,0,241.5783691,-0.1586914063,0.2014160156,1.177978516
0.022,-126.953125,216.6748047,694.5800781,-84.22851563,-66.83349609,-6.774902344,0,241.6333008,-0.03967285156,0.04272460938,1.214599609
0.024,-137.9394531,220.3369141,693.359375,-84.22851563,-66.10107422,-5.859375,0,241.6882324,-0.05798339844,-0.06713867188,1.177978516
0.026,-148.9257813,219.1162109,699.4628906,-83.86230469,-65.55175781,-3.479003906,0,241.7102051,-0.06408691406,-0.08544921875,1.07421875
0.028,-164.7949219,211.7919922,706.7871094,-83.86230469,-64.63623047,-1.281738281,0,241.776123,0.07019042969,-0.02136230469,0.9735107422
0.03,-178.2226563,209.9609375,710.4492188,-83.86230469,-63.53759766,0.732421875,0,241.7871094,0.2990722656,0.01831054688,0.927734375
