"Time","RR_Fx","RR_Fy","RR_Fz","RR_Mx","RR_My","RR_Mz","RR_Wheel,Speed","RR_Position","RR_Ax","RR_Ay","RR_Az"
0,-152.5878906,240.4785156,695.8007813,-86.60888672,-82.76367188,-5.493164063,-4.39453125,132.286377,-0.4486083984,0.03356933594,1.327514648
0.002,-168.4570313,241.0888672,700.6835938,-87.34130859,-82.21435547,-6.958007813,-4.39453125,132.3522949,-0.3173828125,-0.02746582031,1.245117188
0.004,-185.546875,238.0371094,709.2285156,-87.34130859,-81.66503906,-7.690429688,-4.39453125,132.4072266,-0.1556396484,-0.048828125,0.9857177734
0.006,-206.2988281,230.1025391,716.5527344,-86.79199219,-81.29882813,-7.507324219,-4.333496094,132.4731445,-0.03051757813,0.003051757813,0.8514404297
0.008,-225.8300781,231.9335938,722.65625,-86.79199219,-80.56640625,-6.408691406,-4.638671875,132.5280762,0.01525878906,0.05798339844,0.8819580078
0.01,-242.9199219,246.5820313,729.9804688,-86.97509766,-80.01708984,-4.39453125,-3.356933594,132.5500488,0.02136230469,-0.09155273438,0.9368896484
0.012,-250.2441406,257.5683594,728.7597656,-85.51025391,-79.65087891,-2.197265625,0.6713867188,132.6159668,0.1129150391,-0.1495361328,0.8972167969
0.014,-252.6855469,263.0615234,722.65625,-83.31298828,-79.28466797,0,0.9155273438,132.6269531,0.2990722656,-0.1129150391,0.7568359375
0.016,-258.7890625,262.4511719,720.2148438,-82.21435547,-79.1015625,1.281738281,0.7934570313,132.6159668,0.5187988281,-0.006103515625,0.7659912109
0.018,-261.2304688,267.9443359,722.65625,-82.76367188,-79.28466797,2.746582031,0.8239746094,132.5500488,0.68359375,-0.03356933594,0.9429931641
0.02,-256.3476563,276.4892578,721.4355469,-83.67919922,-79.46777344,3.479003906,0.7629394531,132.5280762,0.7598876953,-0.1556396484,1.089477539
0.022,-250.2441406,275.8789063,720.2148438,-84.22851563,-80.01708984,3.479003906,1.098632813,132.4731445,0.7263183594,-0.2502441406,1.034545898
0.024,-245.3613281,270.3857422,721.4355469,-84.59472656,-80.38330078,2.746582031,-0.4272460938,132.4182129,0.5950927734,-0.2593994141,0.9094238281
0.026,-238.0371094,252.6855469,725.0976563,-85.87646484,-80.93261719,2.014160156,-4.211425781,132.3632813,0.4547119141,-0.1098632813,0.8941650391
0.028,-223.3886719,243.5302734,727.5390625,-87.890625,-81.66503906,1.098632813,-4.241943359,132.3303223,0.3021240234,0.01220703125,1.037597656
0.03,-209.9609375,243.5302734,727.5390625,-89.35546875,-82.39746094,-0.5493164063,-4.180908203,132.2644043,0.07629394531,-0.003051757813,1.196289063
0.032,-196.5332031,243.5302734,720.2148438,-89.17236328,-82.76367188,-3.295898438,-4.211425781,132.2644043,-0.2227783203,-0.048828125,1.153564453
0.034,-184.3261719,236.2060547,711.6699219,-87.890625,-83.12988281,-5.676269531,-4.211425781,132.2753906,-0.4272460938,0.07019042969,1.034545898
0.036,-173.3398438,234.9853516,705.5664063,-87.34130859,-83.49609375,-7.690429688,-4.211425781,132.2753906,-0.4638671875,0.146484375,1.07421875
0.038,-168.4570313,238.0371094,700.6835938,-88.07373047,-83.49609375,-8.422851563,-4.211425781,132.2644043,-0.3967285156,0.1800537109,1.312255859
0.04,-169.6777344,249.0234375,698.2421875,-88.98925781,-83.31298828,-8.605957031,-4.211425781,132.2644043,-0.3540039063,0.03356933594,1.480102539
0.042,-173.3398438,258.1787109,701.9042969,-89.17236328,-83.12988281,-8.056640625,-4.211425781,132.3193359,-0.3601074219,-0.08850097656,1.382446289
0.044,-180.6640625,258.1787109,709.2285156,-88.07373047,-82.76367188,-7.141113281,-4.211425781,132.3852539,-0.3295898438,-0.1098632813,1.080322266
0.046,-195.3125,250.8544922,714.1113281,-87.15820313,-82.03125,-5.493164063,-4.211425781,132.4511719,-0.1983642578,-0.07019042969,0.8697509766
0.048,-211.1816406,245.3613281,721.4355469,-87.15820313,-81.29882813,-2.746582031,-4.211425781,132.5170898,0.009155273438,0.003051757813,0.8758544922
0.05,-223.3886719,248.4130859,726.3183594,-87.34130859,-80.38330078,-0.3662109375,-4.211425781,132.5390625,0.2014160156,0.009155273438,0.9429931641
0.052,-233.1542969,253.90625,727.5390625,-86.79199219,-79.28466797,1.46484375,-4.211425781,132.5280762,0.3204345703,-0.01525878906,0.87890625
0.054,-240.4785156,259.3994141,722.65625,-85.32714844,-78.36914063,2.380371094,-4.211425781,132.5390625,0.341796875,-0.048828125,0.7110595703
0.056,-246.5820313,266.1132813,717.7734375,-84.59472656,-77.81982422,2.380371094,-4.211425781,132.5280762,0.3967285156,-0.07629394531,0.6652832031
0.058,-250.2441406,267.9443359,715.3320313,-85.14404297,-77.08740234,2.197265625,-4.211425781,132.5280762,0.5493164063,-0.09460449219,0.8239746094
0.06,-252.6855469,262.4511719,709.2285156,-85.69335938,-77.08740234,1.647949219,-4.211425781,132.5390625,0.7049560547,-0.0244140625,1.055908203
0.062,-250.2441406,261.2304688,705.5664063,-85.87646484,-77.27050781,0.5493164063,-4.211425781,132.4841309,0.7019042969,0,1.14440918
0.064,-247.8027344,263.671875,709.2285156,-86.42578125,-77.63671875,-0.5493164063,-4.211425781,132.4291992,0.5340576172,-0.1129150391,1.025390625
0.066,-244.140625,263.671875,714.1113281,-86.79199219,-78.00292969,-1.831054688,-4.211425781,132.3742676,0.3387451172,-0.1892089844,0.9155273438
0.068,-233.1542969,256.9580078,716.5527344,-87.34130859,-78.55224609,-2.197265625,-4.211425781,132.3303223,0.1861572266,-0.1800537109,0.9124755859
0.07,-217.2851563,249.6337891,714.1113281,-87.890625,-79.65087891,-2.014160156,-4.211425781,132.2644043,0.1129150391,-0.06408691406,0.9948730469
0.072,-200.1953125,250.8544922,709.2285156,-87.890625,-80.74951172,-2.380371094,-4.211425781,132.2644043,0,-0.06408691406,1.129150391
0.074,-183.1054688,249.0234375,701.9042969,-86.79199219,-81.48193359,-3.112792969,-4.211425781,132.2753906,-0.2258300781,0,1.107788086
0.076,-161.1328125,246.5820313,693.359375,-85.51025391,-82.03125,-2.746582031,-4.211425781,132.2753906,-0.3845214844,0.05493164063,1.04675293
0.078,-135.4980469,242.9199219,688.4765625,-85.32714844,-82.76367188,-2.014160156,-4.211425781,132.2753906,-0.4455566406,0.1495361328,1.126098633
0.08,-130.6152344,241.6992188,689.6972656,-86.42578125,-82.94677734,-3.112792969,-4.211425781,132.2644043,-0.4974365234,0.1403808594,1.281738281
0.082,-152.5878906,241.0888672,697.0214844,-88.25683594,-82.76367188,-5.493164063,-4.211425781,132.2753906,-0.4577636719,0.09460449219,1.345825195
