time (seconds),accelerometer X (m/sec^2 highlighted),accelerometer Y (m/sec^2 highlighted),accelerometer Z (m/sec^2 highlighted)
0.0,-1.0,-9.84,0.1
0.016,-1.17,-9.9,0.06
0.032,-1.05,-9.81,0.04
0.048,-1.06,-9.78,0.07
0.064,-1.09,-9.82,0.05
0.08,-1.15,-9.75,0.04
0.096,-0.98,-9.86,0.09
0.112,-1.06,-9.82,0.09
0.128,-1.0,-9.76,0.08
0.144,-0.98,-9.82,0.17
0.16,-1.0,-9.86,-0.13
0.176,-1.03,-9.75,-0.02
0.192,-0.98,-9.81,0.06
0.208,-0.99,-9.77,0.01
0.224,-0.98,-9.75,0.07
0.24,-1.09,-9.85,0.07
0.256,-1.02,-9.84,0.19
0.272,-1.03,-9.8,-0.04
0.288,-0.84,-9.87,0.03
0.304,-1.01,-9.8,0.04
0.32,-0.91,-9.83,0.02
0.336,-1.05,-9.85,0.11
0.352,-0.98,-9.88,0.12
0.368,-1.03,-9.8,0.15
0.384,-0.95,-9.85,0.07
0.4,-0.87,-9.79,0.06
0.416,-1.01,-9.79,0.09
0.432,-0.93,-9.88,0.08
0.448,-0.94,-9.82,0.06
0.464,-0.96,-9.88,0.1
0.48,-1.01,-9.77,0.03
0.496,-1.01,-9.83,-0.01
0.512,-1.0,-9.85,-0.0
0.528,-1.0,-9.77,-0.17
0.544,-1.0,-9.82,-0.02
0.56,-0.97,-9.73,0.08
0.576,-1.01,-9.8,0.12
0.592,-0.97,-9.75,0.04
0.608,-0.98,-9.83,-0.03
0.624,-1.04,-9.81,0.06
0.64,-1.02,-9.74,-0.03
0.656,-0.93,-9.82,-0.03
0.672,-0.93,-9.71,0.03
0.688,-0.89,-9.84,0.08
0.704,-1.05,-9.75,0.11
0.72,-0.9,-9.8,0.17
0.736,-1.05,-9.76,0.07
0.752,-0.92,-9.86,0.08
0.768,-1.04,-9.8,-0.04
0.784,-0.85,-9.8,0.07
0.8,-0.96,-9.87,-0.01
0.816,-0.8,-9.85,-0.06
0.832,-0.9,-9.77,-0.05
0.848,-0.86,-9.79,0.08
0.864,-0.87,-9.73,0.22
0.88,-0.8,-9.78,0.03
0.896,-0.89,-9.83,0.03
0.912,-0.93,-9.9,-0.02
0.928,-0.92,-9.84,-0.11
0.944,-0.9,-9.83,0.11
0.96,-0.84,-9.75,-0.1
0.976,-0.81,-9.73,0.02
0.992,-0.83,-9.78,0.09
1.008,-0.8,-9.75,0.06
1.024,-0.72,-9.77,0.12
1.04,-0.89,-9.87,0.01
1.056,-0.82,-9.79,0.07
1.072,-0.74,-9.9,-0.06
1.088,-0.85,-9.75,0.04
1.104,-0.75,-9.85,-0.06
1.12,-0.83,-9.88,-0.02
1.136,-0.84,-9.9,0.13
1.152,-0.83,-9.83,-0.04
1.168,-0.82,-9.79,0.11
1.184,-0.85,-9.76,0.03
1.2,-0.76,-9.87,0.04
1.216,-0.85,-9.81,-0.01
1.232,-0.78,-9.78,0.01
1.248,-0.78,-9.78,0.01
1.264,-0.84,-9.8,0.08
1.28,-0.76,-9.81,-0.02
1.296,-0.73,-9.82,-0.05
1.312,-0.79,-9.87,-0.02
1.328,-0.77,-9.81,-0.03
1.344,-0.9,-9.79,-0.04
1.36,-0.78,-9.88,0.18
1.376,-0.76,-9.74,0.08
1.392,-0.72,-9.81,0.08
1.408,-0.84,-9.77,0.08
1.424,-0.81,-9.82,-0.0
1.44,-0.76,-9.76,0.05
1.456,-0.86,-9.86,0.16
1.472,-0.8,-9.8,0.05
1.488,-0.98,-9.96,-0.01
1.504,-0.8,-9.75,0.04
1.52,-0.91,-9.77,0.15
1.536,-0.91,-9.77,0.15
1.552,-0.84,-9.85,0.13
1.568,-0.84,-9.8,0.1
1.584,-0.81,-9.81,0.06
1.6,-0.92,-9.82,0.08
1.616,-0.84,-9.89,0.09
1.632,-0.68,-9.76,0.05
1.648,-0.76,-9.89,0.12
1.664,-0.8,-9.97,0.1
1.68,-0.7,-9.84,0.09
1.696,-0.74,-9.79,0.03
1.712,-0.68,-9.84,0.07
1.728,-0.73,-9.73,-0.08
1.744,-0.61,-9.77,0.01
1.76,-0.7,-9.81,0.07
1.776,-0.69,-9.72,-0.07
1.792,-0.8,-9.8,-0.03
1.808,-0.76,-9.8,-0.05
1.824,-0.66,-9.84,0.02
1.84,-0.75,-9.88,-0.01
1.856,-0.66,-9.75,0.12
1.872,-0.79,-9.89,0.07
1.888,-0.71,-9.79,0.04
1.904,-0.66,-9.89,0.13
1.92,-0.69,-9.78,0.11
1.936,-0.71,-9.84,0.07
1.952,-0.64,-9.86,0.08
1.968,-0.59,-9.83,-0.04
1.984,-0.65,-9.81,0.0
2.0,-0.59,-9.81,-0.03
2.016,-0.62,-9.78,-0.01
2.032,-0.7,-9.81,-0.18
2.048,-0.66,-9.75,0.08
2.064,-0.6,-9.79,-0.0
2.08,-0.74,-9.81,0.04
2.096,-0.75,-9.82,0.01
2.112,-0.73,-9.89,-0.06
2.128,-0.82,-9.72,0.08
2.144,-0.72,-9.75,-0.06
2.16,-0.68,-9.87,0.13
2.176,-0.72,-9.71,-0.05
2.192,-0.81,-9.84,-0.06
2.208,-0.85,-9.86,0.04
2.224,-0.72,-9.75,0.01
2.24,-0.69,-9.77,0.13
2.256,-0.66,-9.84,0.03
2.272,-0.73,-9.78,0.09
2.288,-0.8,-9.76,0.02
2.304,-0.69,-9.86,0.02
2.32,-0.74,-9.89,0.07
2.336,-0.78,-9.82,0.09
2.352,-0.62,-9.79,0.11
2.368,-0.77,-9.83,0.1
2.384,-0.63,-9.75,-0.03
2.4,-0.73,-9.84,0.1
2.416,-0.65,-9.77,0.09
2.432,-0.64,-9.82,0.0
2.448,-0.64,-9.86,0.08
2.464,-0.7,-9.76,0.08
2.48,-0.63,-9.75,0.13
2.496,-0.76,-9.82,0.06
2.512,-0.77,-9.86,-0.05
2.528,-0.71,-9.7,-0.06
2.544,-0.62,-9.82,0.02
2.56,-0.62,-9.8,0.0
2.576,-0.62,-9.79,0.06
2.592,-0.6,-9.67,0.05
2.608,-0.66,-9.85,0.05
2.624,-0.57,-9.84,0.14
2.64,-0.64,-9.8,0.11
2.656,-0.65,-9.87,-0.02
2.672,-0.56,-9.89,0.19
2.688,-0.61,-9.83,0.19
2.704,-0.64,-9.88,-0.03
2.72,-0.57,-9.91,0.11
2.736,-0.54,-9.78,0.14
2.752,-0.59,-9.76,0.15
2.768,-0.62,-9.85,-0.05
2.784,-0.58,-9.83,0.06
2.8,-0.52,-9.89,0.05
2.816,-0.64,-9.81,0.06
2.832,-0.58,-9.89,0.0
2.848,-0.64,-9.84,-0.09
2.864,-0.62,-9.83,0.01
2.88,-0.58,-9.89,-0.04
2.896,-0.63,-9.83,0.04
2.912,-0.59,-9.75,0.04
2.928,-0.61,-9.82,0.02
2.944,-0.6,-9.89,-0.01
2.96,-0.57,-9.72,0.07
2.976,-0.52,-9.81,0.03
2.992,-0.66,-9.94,-0.04
3.008,-0.64,-9.91,0.1
3.024,-0.58,-9.77,0.03
3.04,-0.44,-9.78,0.11
3.056,-0.57,-9.82,-0.01
3.072,-0.52,-9.77,0.15
3.088,-0.68,-9.89,-0.01
3.104,-0.63,-9.82,-0.03
3.12,-0.53,-9.84,0.07
3.136,-0.55,-9.8,-0.05
3.152,-0.63,-9.87,0.02
3.168,-0.62,-9.77,0.1
3.184,-0.62,-9.86,-0.07
3.2,-0.58,-9.91,0.19
