"Time"	"RR_Fx"	"RR_Fy"	"RR_Fz"	"RR_Mx"	"RR_My"	"RR_Mz"	"RR_Wheel Speed"	"RR_Position"	"RR_Ax"	"RR_Ay"	"RR_Az"
0	-251.4648438	165.4052734	712.890625	-64.453125	-65.00244141	0.3662109375	2.655029297	68.36791992	0.3936767578	-0.1403808594	0.7965087891
0.002	-260.0097656	169.0673828	711.6699219	-62.98828125	-64.453125	1.281738281	2.655029297	68.36791992	0.4089355469	-0.1068115234	0.8728027344
0.004	-256.3476563	178.8330078	709.2285156	-62.43896484	-64.08691406	2.014160156	2.655029297	68.37890625	0.5187988281	-0.1098632813	0.9216308594
0.006	-249.0234375	191.0400391	703.125	-61.5234375	-63.53759766	2.197265625	2.655029297	68.34594727	0.6713867188	-0.1831054688	0.9490966797
0.008	-238.0371094	198.9746094	697.0214844	-60.79101563	-63.17138672	2.380371094	2.593994141	68.26904297	0.7385253906	-0.2532958984	0.9399414063
0.01	-212.4023438	192.2607422	693.359375	-60.42480469	-62.80517578	2.9296875	2.960205078	68.18115234	0.6958007813	-0.1831054688	0.9643554688
0.012	-184.3261719	183.7158203	693.359375	-61.15722656	-62.80517578	2.380371094	1.403808594	68.09326172	0.5096435547	-0.1281738281	1.052856445
0.014	-161.1328125	171.5087891	693.359375	-62.62207031	-62.98828125	1.647949219	-2.746582031	68.02734375	0.2777099609	-0.07629394531	1.116943359
0.016	-139.1601563	169.0673828	692.1386719	-64.27001953	-63.72070313	0.5493164063	-2.899169922	67.98339844	0.07019042969	-0.1800537109	1.138305664
0.018	-122.0703125	157.4707031	693.359375	-66.10107422	-64.63623047	-0.732421875	-2.807617188	67.9284668	-0.02746582031	-0.1617431641	1.098632813
0.02	-109.8632813	148.9257813	698.2421875	-67.56591797	-65.55175781	-2.380371094	-2.838134766	67.93945313	-0.2014160156	-0.07019042969	1.058959961
0.022	-106.2011719	148.3154297	699.4628906	-67.93212891	-66.65039063	-4.577636719	-2.838134766	67.93945313	-0.4516601563	-0.06103515625	1.095581055
0.024	-103.7597656	144.0429688	694.5800781	-67.3828125	-67.74902344	-6.774902344	-2.838134766	67.9284668	-0.6591796875	0.05187988281	1.141357422
0.026	-107.421875	143.4326172	684.8144531	-65.73486328	-68.66455078	-8.7890625	-2.807617188	67.96142578	-0.7720947266	0.1556396484	1.171875
0.028	-120.8496094	151.9775391	683.59375	-65.00244141	-69.21386719	-10.07080078	-2.777099609	68.03833008	-0.6591796875	0.1373291016	1.214599609
0.03	-150.1464844	164.1845703	688.4765625	-65.00244141	-69.39697266	-10.62011719	-3.173828125	68.13720703	-0.4638671875	0.04577636719	1.226806641
0.032	-178.2226563	176.3916016	690.9179688	-65.00244141	-69.21386719	-9.887695313	0.03051757813	68.23608398	-0.2105712891	-0.1007080078	1.205444336
0.034	-197.7539063	178.8330078	692.1386719	-64.81933594	-68.84765625	-7.32421875	3.326416016	68.32397461	0.0244140625	-0.1739501953	1.110839844
0.036	-209.9609375	175.78125	701.9042969	-64.63623047	-68.11523438	-3.845214844	2.960205078	68.37890625	0.1556396484	-0.1342773438	1.013183594
0.038	-219.7265625	173.9501953	712.890625	-64.63623047	-66.83349609	-0.1831054688	2.990722656	68.37890625	0.2532958984	-0.1342773438	0.9185791016
0.04	-227.0507813	174.5605469	718.9941406	-64.63623047	-65.36865234	2.9296875	2.990722656	68.44482422	0.3448486328	-0.1434326172	0.8636474609
0.042	-225.8300781	173.3398438	716.5527344	-64.27001953	-63.72070313	5.859375	2.990722656	68.46679688	0.5096435547	-0.1892089844	0.7965087891
0.044	-220.9472656	166.015625	709.2285156	-63.72070313	-62.25585938	7.507324219	2.990722656	68.41186523	0.6866455078	-0.048828125	0.7385253906
0.046	-214.84375	174.5605469	703.125	-63.53759766	-60.60791016	7.507324219	2.990722656	68.35693359	0.7751464844	-0.06408691406	0.7904052734
0.048	-208.7402344	181.2744141	697.0214844	-63.90380859	-59.50927734	6.408691406	2.990722656	68.29101563	0.7873535156	-0.1129150391	0.9429931641
0.05	-197.7539063	180.6640625	689.6972656	-64.453125	-58.59375	4.943847656	2.960205078	68.22509766	0.7598876953	-0.1098632813	1.083374023
0.052	-183.1054688	177.0019531	686.0351563	-65.00244141	-57.86132813	2.746582031	3.295898438	68.13720703	0.6469726563	-0.03967285156	1.162719727
0.054	-169.6777344	181.8847656	690.9179688	-65.91796875	-57.49511719	0	-0.1525878906	68.06030273	0.4150390625	-0.1251220703	1.098632813
0.056	-157.4707031	180.6640625	694.5800781	-66.83349609	-57.67822266	-2.563476563	-2.990722656	68.01635742	0.1312255859	-0.1922607422	1.052856445
0.058	-142.8222656	177.6123047	693.359375	-67.19970703	-58.22753906	-4.577636719	-2.593994141	67.95043945	-0.07934570313	-0.1739501953	1.00402832
0.06	-125.7324219	173.3398438	694.5800781	-67.93212891	-58.95996094	-5.676269531	-2.624511719	67.9284668	-0.2532958984	-0.1495361328	1.025390625
0.062	-109.8632813	169.6777344	695.8007813	-68.48144531	-59.87548828	-6.408691406	-2.655029297	67.93945313	-0.4577636719	-0.07629394531	1.092529297
0.064	-101.3183594	163.5742188	697.0214844	-68.29833984	-60.97412109	-6.591796875	-2.655029297	67.93945313	-0.5828857422	0.06103515625	1.058959961
0.066	-87.890625	166.015625	693.359375	-67.93212891	-62.07275391	-5.859375	-2.655029297	67.9284668	-0.6286621094	0.1037597656	0.9979248047
0.068	-73.2421875	172.1191406	687.2558594	-67.56591797	-63.35449219	-4.760742188	-2.655029297	67.93945313	-0.6317138672	0.048828125	1.025390625
0.07	-69.58007813	175.1708984	682.3730469	-67.56591797	-64.08691406	-3.479003906	-2.624511719	68.00537109	-0.5706787109	0	1.092529297
