"Time"	"RR_Fx"	"RR_Fy"	"RR_Fz"	"RR_Mx"	"RR_My"	"RR_Mz"	"RR_Wheel Speed"	"RR_Position"	"RR_Ax"	"RR_Ay"	"RR_Az"
0	-74.46289063	223.3886719	654.296875	-81.29882813	-51.63574219	-4.211425781	-3.112792969	156.3684082	-0.2746582031	-0.01220703125	1.29699707
0.002	-90.33203125	229.4921875	657.9589844	-81.66503906	-51.81884766	-3.112792969	-3.41796875	156.4343262	-0.04272460938	-0.1129150391	1.251220703
0.004	-98.87695313	231.3232422	665.2832031	-80.74951172	-51.45263672	-1.098632813	-2.258300781	156.4562988	0.01220703125	-0.1342773438	1.00402832
0.006	-106.2011719	225.2197266	671.3867188	-79.65087891	-50.53710938	1.647949219	2.380371094	156.5112305	-0.003051757813	-0.06103515625	0.8239746094
0.008	-115.9667969	219.1162109	676.2695313	-79.1015625	-49.43847656	4.760742188	2.868652344	156.5661621	0.003051757813	0.03356933594	0.8239746094
0.01	-122.0703125	221.5576172	676.2695313	-79.1015625	-47.97363281	7.690429688	2.685546875	156.6210938	0.1586914063	0.003051757813	0.9155273438
0.012	-123.2910156	223.9990234	681.1523438	-79.1015625	-46.14257813	9.704589844	2.716064453	156.6210938	0.3814697266	-0.03967285156	0.9033203125
0.014	-125.7324219	223.9990234	679.9316406	-78.36914063	-44.12841797	10.25390625	2.716064453	156.6210938	0.5310058594	-0.01220703125	0.732421875
0.016	-123.2910156	229.4921875	673.828125	-77.63671875	-42.11425781	10.07080078	2.716064453	156.5551758	0.5950927734	-0.02136230469	0.6713867188
0.018	-117.1875	234.9853516	664.0625	-77.81982422	-40.28320313	9.338378906	2.716064453	156.5222168	0.6042480469	-0.08850097656	0.7873535156
0.02	-104.9804688	233.1542969	657.9589844	-78.18603516	-38.81835938	8.972167969	2.685546875	156.4672852	0.6256103516	-0.05798339844	1.055908203
0.022	-87.890625	233.1542969	653.0761719	-78.73535156	-37.71972656	8.239746094	2.807617188	156.3903809	0.5523681641	-0.04577636719	1.229858398
0.024	-79.34570313	232.5439453	651.8554688	-79.1015625	-36.80419922	6.042480469	2.624511719	156.3464355	0.3845214844	-0.07629394531	1.187133789
0.026	-72.02148438	233.1542969	656.7382813	-79.65087891	-36.43798828	3.845214844	-1.586914063	156.2915039	0.2532958984	-0.1525878906	1.037597656
0.028	-61.03515625	232.5439453	664.0625	-80.56640625	-36.25488281	2.563476563	-3.112792969	156.2695313	0.1220703125	-0.2105712891	0.9368896484
0.03	-47.60742188	230.7128906	661.6210938	-80.74951172	-36.80419922	2.014160156	-2.777099609	156.2145996	0.02136230469	-0.1861572266	0.9826660156
0.032	-30.51757813	225.8300781	654.296875	-80.56640625	-37.71972656	2.380371094	-2.838134766	156.1706543	-0.1007080078	-0.1037597656	1.058959961
0.034	-13.42773438	220.9472656	648.1933594	-80.01708984	-38.81835938	2.197265625	-2.838134766	156.1706543	-0.3326416016	0.01220703125	1.080322266
0.036	-1.220703125	213.6230469	646.9726563	-78.91845703	-39.73388672	2.197265625	-2.838134766	156.2036133	-0.5187988281	0.146484375	1.065063477
0.038	7.32421875	214.84375	645.7519531	-79.46777344	-40.46630859	2.9296875	-2.838134766	156.2695313	-0.5554199219	0.1739501953	1.058959961
0.04	6.103515625	218.5058594	640.8691406	-80.38330078	-41.56494141	2.563476563	-2.838134766	156.2585449	-0.4516601563	0.1098632813	1.123046875
0.042	-13.42773438	223.3886719	642.0898438	-82.21435547	-42.29736328	1.281738281	-2.838134766	156.3244629	-0.29296875	-0.02746582031	1.235961914
0.044	-45.16601563	214.84375	650.6347656	-83.31298828	-42.66357422	0.3662109375	-2.807617188	156.3574219	-0.09765625	0.003051757813	1.181030273
0.046	-70.80078125	210.5712891	661.6210938	-83.12988281	-43.02978516	0.5493164063	-2.899169922	156.3903809	0.08850097656	0.01220703125	1.019287109
0.048	-87.890625	205.6884766	670.1660156	-82.39746094	-43.02978516	1.831054688	-2.716064453	156.4453125	0.2197265625	0.0732421875	0.830078125
0.05	-106.2011719	211.7919922	677.4902344	-81.66503906	-42.66357422	3.112792969	1.281738281	156.5112305	0.2258300781	0.01220703125	0.7629394531
0.052	-122.0703125	223.9990234	683.59375	-81.11572266	-42.29736328	4.760742188	2.685546875	156.5332031	0.1739501953	-0.06713867188	0.8544921875
0.054	-131.8359375	233.1542969	682.3730469	-79.46777344	-42.11425781	6.225585938	2.349853516	156.5222168	0.1831054688	-0.1159667969	0.8422851563
0.056	-134.2773438	236.2060547	675.0488281	-77.45361328	-41.56494141	7.32421875	2.410888672	156.5222168	0.341796875	-0.05187988281	0.7690429688
0.058	-131.8359375	241.0888672	670.1660156	-76.35498047	-41.38183594	8.239746094	2.410888672	156.5332031	0.5584716797	0.006103515625	0.7720947266
0.06	-125.7324219	248.4130859	667.7246094	-76.35498047	-41.38183594	8.7890625	2.410888672	156.5002441	0.68359375	-0.06713867188	0.8972167969
0.062	-108.6425781	245.9716797	664.0625	-76.90429688	-41.56494141	9.887695313	2.44140625	156.4233398	0.68359375	-0.1098632813	1.025390625
0.064	-86.66992188	244.140625	657.9589844	-77.63671875	-41.93115234	9.887695313	2.593994141	156.3574219	0.5126953125	-0.1495361328	1.055908203
0.066	-74.46289063	240.4785156	657.9589844	-78.55224609	-42.48046875	8.422851563	-1.617431641	156.2915039	0.3021240234	-0.2075195313	1.037597656
0.068	-68.359375	229.4921875	661.6210938	-79.83398438	-43.39599609	6.958007813	-3.936767578	156.2585449	0.1800537109	-0.1983642578	1.031494141
0.07	-59.81445313	216.6748047	661.6210938	-81.48193359	-44.67773438	5.676269531	-3.509521484	156.2585449	0.1586914063	-0.05187988281	1.098632813
0.072	-46.38671875	216.6748047	662.8417969	-82.76367188	-46.14257813	4.577636719	-3.570556641	156.192627	0.06103515625	-0.0732421875	1.193237305
0.074	-40.28320313	216.6748047	665.2832031	-82.76367188	-47.42431641	2.380371094	-3.601074219	156.1706543	-0.2258300781	-0.1007080078	1.184082031
0.076	-40.28320313	208.7402344	664.0625	-81.11572266	-48.70605469	0	-3.601074219	156.2036133	-0.5615234375	0.03051757813	1.058959961
0.078	-39.0625	203.8574219	657.9589844	-79.65087891	-49.62158203	-1.647949219	-3.601074219	156.2585449	-0.7232666016	0.2258300781	0.9796142578
0.08	-46.38671875	208.7402344	654.296875	-79.83398438	-50.53710938	-2.746582031	-3.601074219	156.2915039	-0.6042480469	0.2258300781	1.129150391
0.082	-64.69726563	221.5576172	654.296875	-81.11572266	-51.26953125	-3.479003906	-3.570556641	156.3464355	-0.3814697266	0.08544921875	1.33972168
0.084	-81.78710938	233.7646484	657.9589844	-81.84814453	-51.45263672	-3.112792969	-3.509521484	156.3684082	-0.1617431641	-0.1068115234	1.330566406
0.086	-95.21484375	234.9853516	666.5039063	-81.48193359	-51.45263672	-1.46484375	-3.967285156	156.4343262	-0.03967285156	-0.1678466797	1.068115234
0.088	-103.7597656	228.8818359	672.6074219	-80.38330078	-50.72021484	0.732421875	-1.373291016	156.4672852	0	-0.1159667969	0.830078125
0.09	-113.5253906	219.7265625	676.2695313	-80.01708984	-49.62158203	4.028320313	2.777099609	156.5332031	0.06408691406	-0.01525878906	0.8178710938
0.092	-122.0703125	219.1162109	678.7109375	-80.20019531	-48.15673828	7.141113281	2.532958984	156.5222168	0.1861572266	0.02746582031	0.9582519531
0.094	-124.5117188	223.3886719	683.59375	-80.01708984	-46.32568359	9.338378906	2.532958984	156.5661621	0.3509521484	-0.01220703125	0.9613037109
0.096	-123.2910156	225.2197266	683.59375	-78.91845703	-44.12841797	10.43701172	2.532958984	156.5661621	0.4852294922	-0.01525878906	0.7873535156
0.098	-120.8496094	227.6611328	677.4902344	-77.81982422	-41.93115234	10.43701172	2.532958984	156.5222168	0.5554199219	0	0.6164550781
0.1	-118.4082031	232.5439453	668.9453125	-77.81982422	-39.73388672	9.887695313	2.532958984	156.5222168	0.6134033203	-0.01220703125	0.7232666016
0.102	-107.421875	241.0888672	660.4003906	-78.00292969	-38.0859375	9.338378906	2.502441406	156.4562988	0.6439208984	-0.1159667969	1.007080078
0.104	-91.55273438	237.4267578	653.0761719	-78.73535156	-36.62109375	8.422851563	2.716064453	156.3903809	0.6195068359	-0.1129150391	1.214599609
0.106	-78.125	235.5957031	650.6347656	-79.1015625	-35.52246094	6.958007813	2.075195313	156.3464355	0.4760742188	-0.08850097656	1.202392578
0.108	-69.58007813	231.9335938	654.296875	-79.46777344	-34.97314453	4.760742188	-2.410888672	156.2805176	0.3082275391	-0.07629394531	1.04675293
0.11	-58.59375	232.5439453	659.1796875	-80.56640625	-34.79003906	3.295898438	-3.295898438	156.2585449	0.1525878906	-0.1556396484	0.9368896484
0.112	-45.16601563	230.1025391	661.6210938	-81.66503906	-35.15625	2.563476563	-3.051757813	156.2145996	0.08544921875	-0.2014160156	0.9857177734
0.114	-30.51757813	225.8300781	657.9589844	-81.84814453	-36.07177734	2.563476563	-3.112792969	156.1706543	-0.02136230469	-0.1739501953	1.086425781
0.116	-15.86914063	218.5058594	650.6347656	-81.11572266	-37.17041016	2.563476563	-3.112792969	156.1706543	-0.2380371094	-0.02746582031	1.10168457
0.118	-1.220703125	213.6230469	645.7519531	-80.01708984	-38.26904297	2.380371094	-3.112792969	156.1816406	-0.4486083984	0.09155273438	1.031494141
0.12	10.98632813	217.2851563	645.7519531	-79.46777344	-39.18457031	2.746582031	-3.112792969	156.2475586	-0.5737304688	0.1281738281	0.9887695313
0.122	18.31054688	218.5058594	643.3105469	-79.83398438	-40.28320313	3.112792969	-3.112792969	156.2585449	-0.5554199219	0.1434326172	1.092529297
0.124	6.103515625	222.1679688	637.2070313	-80.93261719	-41.38183594	2.197265625	-3.112792969	156.3134766	-0.4425048828	0.1129150391	1.202392578
0.126	-25.63476563	224.609375	644.53125	-82.94677734	-41.93115234	0.1831054688	-3.051757813	156.3574219	-0.2655029297	-0.03051757813	1.257324219
0.128	-61.03515625	214.84375	657.9589844	-83.12988281	-42.48046875	-0.5493164063	-3.204345703	156.4013672	-0.01831054688	0.04577636719	1.07421875
0.13	-84.22851563	213.0126953	668.9453125	-82.76367188	-42.66357422	0.1831054688	-2.9296875	156.4453125	0.2075195313	0	0.8422851563
0.132	-102.5390625	211.1816406	675.0488281	-82.03125	-42.84667969	1.831054688	1.312255859	156.5112305	0.3204345703	0.006103515625	0.7202148438
0.134	-120.8496094	216.0644531	679.9316406	-81.48193359	-42.66357422	3.662109375	2.655029297	156.5332031	0.2685546875	-0.01525878906	0.7690429688
0.136	-134.2773438	225.2197266	683.59375	-80.74951172	-42.48046875	5.859375	2.319335938	156.5222168	0.1586914063	-0.06713867188	0.9155273438
0.138	-139.1601563	236.2060547	677.4902344	-79.1015625	-42.11425781	7.32421875	2.380371094	156.5222168	0.1892089844	-0.1068115234	0.8819580078
0.14	-135.4980469	241.6992188	671.3867188	-77.45361328	-41.93115234	8.605957031	2.380371094	156.5332031	0.390625	-0.1007080078	0.7690429688
0.142	-130.6152344	241.0888672	667.7246094	-76.35498047	-41.93115234	9.338378906	2.380371094	156.5332031	0.6683349609	-0.0244140625	0.7904052734
0.144	-118.4082031	245.9716797	662.8417969	-76.35498047	-41.93115234	10.07080078	2.349853516	156.4672852	0.7965087891	-0.08239746094	0.9552001953
0.146	-100.0976563	244.7509766	659.1796875	-77.27050781	-42.29736328	10.25390625	2.746582031	156.3793945	0.7049560547	-0.1007080078	1.086425781
0.148	-83.0078125	245.3613281	659.1796875	-77.81982422	-42.84667969	9.155273438	-0.3051757813	156.3134766	0.4425048828	-0.1922607422	1.107788086
0.15	-74.46289063	238.6474609	659.1796875	-78.73535156	-43.57910156	7.507324219	-3.784179688	156.2585449	0.2380371094	-0.2227783203	1.025390625
0.152	-65.91796875	227.0507813	659.1796875	-80.01708984	-44.67773438	6.225585938	-3.41796875	156.2695313	0.1831054688	-0.1617431641	1.007080078
0.154	-53.7109375	218.5058594	661.6210938	-81.84814453	-45.95947266	4.943847656	-3.448486328	156.2145996	0.1373291016	-0.07934570313	1.116943359
