"Time"	"RR_Fx"	"RR_Fy"	"RR_Fz"	"RR_Mx"	"RR_My"	"RR_Mz"	"RR_Wheel Speed"	"RR_Position"	"RR_Ax"	"RR_Ay"	"RR_Az"
0	-26.85546875	28.68652344	-106.2011719	-4.39453125	0	-0.5493164063	0	330.2819824	0.2227783203	-0.01220703125	0.9185791016
0.002	-34.1796875	34.79003906	-95.21484375	-5.676269531	0	-0.732421875	0	330.2819824	0.3479003906	-0.1556396484	0.8758544922
0.004	-35.40039063	26.85546875	-89.11132813	-5.493164063	-0.1831054688	0	0	330.2819824	0.4669189453	-0.1739501953	0.8453369141
0.006	-26.85546875	7.32421875	-92.7734375	-4.39453125	-0.1831054688	1.098632813	0	330.2819824	0.5126953125	0.003051757813	0.8361816406
0.008	-15.86914063	-5.493164063	-102.5390625	-2.9296875	-0.1831054688	2.014160156	0	330.2819824	0.4241943359	0.1678466797	0.8209228516
0.01	-9.765625	-7.934570313	-114.7460938	-1.098632813	-0.3662109375	2.563476563	0	330.2819824	0.2227783203	0.1617431641	0.8392333984
0.012	-7.32421875	-9.155273438	-123.2910156	-1.098632813	-0.3662109375	3.295898438	0	330.2819824	0.07934570313	0.1220703125	1.022338867
0.014	-6.103515625	-3.662109375	-123.2910156	-2.014160156	-0.3662109375	3.112792969	0	330.2819824	0.05187988281	0.06103515625	1.187133789
0.016	-8.544921875	6.103515625	-113.5253906	-3.479003906	-0.3662109375	2.014160156	0	330.2819824	0.1525878906	-0.09460449219	1.202392578
0.018	-10.98632813	11.59667969	-108.6425781	-4.211425781	-0.3662109375	1.098632813	0	330.2819824	0.2960205078	-0.1220703125	1.043701172
0.02	-20.75195313	14.6484375	-97.65625	-5.676269531	-0.1831054688	-0.1831054688	0	330.2819824	0.390625	-0.07019042969	0.8087158203
0.022	-35.40039063	12.81738281	-83.0078125	-6.591796875	0	-1.46484375	0	330.2819824	0.4028320313	0.05493164063	0.6622314453
0.024	-47.60742188	15.25878906	-72.02148438	-7.141113281	-0.1831054688	-2.014160156	0	330.2819824	0.3723144531	0.1586914063	0.6866455078
0.026	-45.16601563	18.31054688	-73.2421875	-6.958007813	0	-2.197265625	0	330.2819824	0.3082275391	0.1373291016	0.8026123047
0.028	-34.1796875	12.20703125	-98.87695313	-5.126953125	-0.1831054688	-2.197265625	0	330.2819824	0.2868652344	0.1678466797	0.8850097656
0.03	-21.97265625	8.544921875	-126.953125	-2.9296875	-0.1831054688	-1.46484375	0	330.2819824	0.2532958984	0.1434326172	1.040649414
0.032	-10.98632813	14.03808594	-147.7050781	-0.9155273438	-0.1831054688	-0.9155273438	0	330.2819824	0.2166748047	-0.02136230469	1.184082031
0.034	-10.98632813	12.20703125	-141.6015625	-1.281738281	-0.1831054688	-0.732421875	0	330.2819824	0.1983642578	-0.1556396484	1.257324219
0.036	-21.97265625	3.051757813	-126.953125	-1.647949219	-0.1831054688	-0.732421875	0	330.2819824	0.1800537109	-0.05493164063	1.226806641
0.038	-29.296875	7.934570313	-115.9667969	-2.014160156	-0.1831054688	-1.281738281	0	330.2819824	0.1556396484	-0.1098632813	1.058959961
0.04	-35.40039063	15.86914063	-112.3046875	-2.9296875	-0.1831054688	-1.647949219	0	330.2819824	0.2105712891	-0.2014160156	0.9155273438
0.042	-41.50390625	16.47949219	-101.3183594	-4.577636719	-0.1831054688	-1.46484375	0	330.2819824	0.3936767578	-0.1281738281	0.8270263672
0.044	-40.28320313	12.20703125	-90.33203125	-5.859375	-0.3662109375	-0.1831054688	0	330.2819824	0.5554199219	0.048828125	0.8422851563
0.046	-32.95898438	10.98632813	-89.11132813	-6.774902344	-0.1831054688	1.281738281	0	330.2819824	0.5828857422	0.2014160156	0.9124755859
0.048	-24.4140625	22.58300781	-93.99414063	-6.408691406	-0.1831054688	2.197265625	0	330.2819824	0.4455566406	0.1037597656	0.9002685547
0.05	-10.98632813	28.07617188	-108.6425781	-4.577636719	-0.3662109375	3.479003906	0	330.2819824	0.2471923828	-0.006103515625	0.8605957031
0.052	1.220703125	28.07617188	-120.8496094	-3.295898438	-0.3662109375	4.943847656	0	330.2819824	0.07629394531	-0.07019042969	0.9643554688
0.054	10.98632813	28.07617188	-124.5117188	-2.380371094	-0.3662109375	5.310058594	0	330.2819824	0.03051757813	-0.1342773438	1.058959961
0.056	8.544921875	13.42773438	-119.6289063	-2.014160156	-0.3662109375	4.39453125	0	330.2819824	0.1068115234	-0.04272460938	1.119995117
0.058	-8.544921875	-4.8828125	-114.7460938	-2.197265625	-0.1831054688	2.563476563	0	330.2819824	0.2227783203	0.1525878906	1.089477539
0.06	-26.85546875	-9.155273438	-102.5390625	-3.295898438	-0.1831054688	0	0	330.2819824	0.3356933594	0.1708984375	0.9796142578
0.062	-42.72460938	-4.272460938	-84.22851563	-4.760742188	-0.1831054688	-1.831054688	0	330.2819824	0.3814697266	0.048828125	0.8209228516
0.064	-48.828125	-4.272460938	-73.2421875	-4.943847656	0	-2.9296875	0	330.2819824	0.4241943359	0.003051757813	0.6561279297
0.066	-50.04882813	-0.6103515625	-75.68359375	-4.760742188	0	-3.662109375	0	330.2819824	0.4364013672	-0.006103515625	0.5859375
